index,sample,fpl,SWB_2,FWBscore,FWB1_1,FWB1_2,FWB1_5,FWB2_3,FSscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,SAVEHABIT,ENDSMEET,HOUSING,HOUSERANGES,MORTGAGE,SAVINGSRANGES,PRODHAVE_1,PRODHAVE_2,PRODHAVE_3,PRODHAVE_5,PRODUSE_1,VOLATILITY,MATHARDSHIP_3,COLLECT,REJECTED_1,SHOCKS_8,MATERIALISM_3,HEALTH,PPEDUC,EMPLOY,agecat,generation,PPETHM,PPGENDER,PPINCIMP,PPMARIT,Util_cutoff_no_pay,Property taxes Mean,Mortgage interest and charges Mean,"Utilities, fuels, and public services Mean",Telephone services Mean,"Residential phone service, VOIP, and phone cards Mean",Cellular phone service Mean,Health insurance Mean,Education Mean
73,2,4,7,60,5,5,4,3,62,6,5,6,7,2,2,6,3,6,2,2,2,1,1,2,2,1,1,1,4,5,4,3,4,4,2,3,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
75,2,4,6,44,4,5,5,4,48,4,4,5,6,2,2,8,4,7,2,2,2,2,1,2,2,1,1,1,3,4,5,3,3,5,2,2,10,2,2,1545,2558,4092,1413,197,1216,3444,1143
77,2,4,6,53,4,4,4,4,49,5,4,4,6,3,2,6,3,5,2,2,2,1,1,2,2,1,1,1,3,5,5,3,5,3,2,2,10,2,2,1545,2558,4092,1413,197,1216,3444,1143
78,3,4,5,50,4,4,4,3,38,5,2,6,6,2,2,100,100,100,2,1,2,2,1,2,2,1,1,1,4,3,4,9,7,3,2,3,5,5,2,1545,2558,4092,1413,197,1216,3444,1143
79,2,4,7,84,6,6,2,2,61,6,6,6,6,2,2,2,2,8,2,1,2,2,1,2,2,1,1,1,4,5,5,9,9,2,2,3,10,2,2,2206,2286,3943,1332,197,1134,3669,1107
80,2,4,5,71,5,5,2,2,68,6,5,6,7,2,2,6,3,7,2,1,2,1,1,2,2,1,1,1,2,5,5,3,4,4,2,2,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
81,2,4,7,73,5,5,2,2,58,6,6,6,7,2,2,6,2,8,2,1,2,2,1,3,2,2,1,1,4,4,5,9,8,2,2,2,8,2,2,1545,2558,4092,1413,197,1216,3444,1143
82,2,4,7,56,4,5,3,2,56,6,5,5,6,3,2,8,4,6,2,2,2,1,1,3,2,1,1,1,5,6,6,2,6,3,2,3,10,2,2,3687,2754,4249,1438,289,1149,3566,2370
83,2,4,8,60,4,4,3,3,59,6,4,5,7,2,2,6,3,5,2,2,2,1,1,2,2,1,1,1,3,6,5,3,3,5,2,2,7,2,2,2206,2286,3943,1332,197,1134,3669,1107
84,3,4,7,68,4,3,4,2,52,6,5,6,6,2,2,6,2,8,2,2,2,2,1,2,2,1,1,1,4,4,6,4,7,3,2,3,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
86,3,4,7,56,5,4,4,3,43,6,6,6,6,2,2,100,2,6,2,2,2,2,1,2,2,1,1,1,4,4,3,9,9,2,2,3,9,2,2,3687,2754,4249,1438,289,1149,3566,2370
87,2,4,8,87,6,6,2,2,78,6,6,6,7,2,2,2,2,6,2,1,2,1,1,2,2,1,1,1,4,5,6,9,9,2,2,2,10,3,2,2055,3598,3932,1450,161,1289,3236,1469
88,3,4,6,79,5,5,2,2,47,6,5,6,7,2,2,2,2,6,2,1,1,1,1,2,2,1,1,1,2,4,5,3,7,3,2,2,9,2,2,2206,2286,3943,1332,197,1134,3669,1107
90,2,4,7,63,5,4,3,3,47,6,5,6,6,2,2,2,100,100,2,2,2,2,1,2,2,1,1,1,3,5,5,9,8,2,2,2,5,2,2,1545,2558,4092,1413,197,1216,3444,1143
91,2,4,7,63,5,4,3,2,57,6,5,6,7,2,2,7,3,8,2,2,2,1,1,2,2,1,1,1,3,3,6,3,3,5,2,3,10,2,2,2206,2286,3943,1332,197,1134,3669,1107
92,2,4,6,48,4,4,5,4,43,4,3,3,5,2,2,100,100,0,1,1,2,1,1,3,2,1,1,1,3,5,3,4,6,3,2,2,6,2,2,1545,2558,4092,1413,197,1216,3444,1143
93,3,4,7,73,5,5,3,2,65,6,6,6,6,2,2,100,100,8,2,1,2,1,1,2,2,1,1,1,4,4,3,9,8,2,2,3,4,2,2,2206,2286,3943,1332,197,1134,3669,1107
95,3,3,8,78,5,5,3,2,58,6,6,6,6,2,2,2,0,100,2,2,2,1,1,2,2,1,1,1,3,5,3,9,9,2,2,2,3,2,2,3687,2754,4249,1438,289,1149,3566,2370
96,3,4,7,68,5,5,3,2,63,6,6,5,7,2,2,2,2,7,2,2,2,1,1,2,2,1,1,1,3,5,5,9,7,3,2,2,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
97,2,4,5,41,3,3,3,5,33,4,4,2,2,3,2,6,3,99,1,1,2,1,1,2,2,2,1,1,2,5,6,3,5,4,2,3,9,2,2,3687,2754,4249,1438,289,1149,3566,2370
98,2,4,6,62,5,2,3,2,49,6,5,6,5,2,2,6,3,7,1,1,2,1,1,3,2,1,1,1,5,6,6,2,4,5,2,3,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
101,2,4,6,67,5,4,2,2,48,6,6,6,7,2,2,2,2,7,2,2,2,2,1,2,2,1,1,1,5,4,4,9,7,3,2,2,6,4,2,2055,3598,3932,1450,161,1289,3236,1469
102,3,4,7,58,4,4,5,4,45,5,5,5,5,2,2,8,4,6,2,2,2,1,1,3,2,1,1,1,3,4,6,3,7,3,2,2,10,2,2,2206,2286,3943,1332,197,1134,3669,1107
103,2,4,6,59,4,5,3,3,68,6,6,5,6,2,2,3,3,6,2,2,2,2,1,2,2,1,1,1,3,6,6,3,6,3,2,2,7,2,2,3687,2754,4249,1438,289,1149,3566,2370
105,2,4,7,64,5,5,3,2,53,6,6,6,6,2,2,7,4,6,2,2,2,2,1,2,2,1,1,1,3,4,6,3,5,4,2,3,10,2,2,2055,3598,3932,1450,161,1289,3236,1469
106,2,4,0,56,5,5,5,2,50,6,5,3,5,3,2,2,2,6,2,2,2,1,1,2,2,1,1,1,3,5,4,3,6,3,2,2,8,2,2,2206,2286,3943,1332,197,1134,3669,1107
107,2,4,7,67,5,5,3,2,47,6,5,5,5,2,2,6,3,7,2,2,2,1,1,2,2,1,1,1,3,5,3,3,5,3,5,3,8,2,2,1545,2558,4092,1413,197,1216,3444,1143
109,2,4,7,71,6,6,3,2,57,6,5,6,7,2,2,6,3,6,2,2,2,2,1,3,2,1,1,1,3,4,6,3,3,5,2,2,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
112,2,4,6,65,5,3,3,2,52,6,5,6,5,2,2,4,3,7,2,2,2,2,1,2,2,1,1,1,3,4,4,9,8,2,2,3,7,2,2,1545,2558,4092,1413,197,1216,3444,1143
113,2,4,7,56,4,4,3,3,50,6,5,6,7,2,2,7,4,5,2,1,2,1,1,2,2,1,1,1,3,5,6,3,3,5,2,3,9,2,2,2055,3598,3932,1450,161,1289,3236,1469
114,3,4,7,71,5,5,3,2,58,6,6,6,6,2,2,6,4,6,2,2,2,2,1,3,2,1,1,1,2,5,4,9,8,2,2,2,9,2,2,3687,2754,4249,1438,289,1149,3566,2370
116,2,4,6,53,3,4,4,3,45,5,5,3,2,3,2,2,3,5,2,2,2,2,1,3,2,1,1,1,3,5,3,4,6,3,2,3,9,2,2,3687,2754,4249,1438,289,1149,3566,2370
117,3,4,7,61,5,5,5,3,48,6,5,6,6,2,2,2,2,6,2,2,1,1,1,2,2,1,1,1,4,5,3,9,9,2,2,2,4,3,2,2055,3598,3932,1450,161,1289,3236,1469
118,2,4,8,54,5,5,3,2,67,6,6,6,7,2,2,8,4,6,2,2,2,1,1,2,2,1,1,1,2,6,6,3,5,4,2,2,10,2,2,2055,3598,3932,1450,161,1289,3236,1469
119,2,4,8,79,6,6,5,2,70,6,6,6,7,2,2,99,100,100,2,2,2,2,1,3,2,1,1,1,4,5,4,9,9,2,5,2,8,2,2,1545,2558,4092,1413,197,1216,3444,1143
124,2,4,8,61,5,6,3,3,61,6,6,6,6,2,2,2,2,7,2,1,2,2,1,3,2,1,1,1,4,5,6,9,9,2,2,2,8,2,2,3687,2754,4249,1438,289,1149,3566,2370
126,3,4,7,58,5,4,3,3,50,5,5,5,6,2,2,2,2,6,2,2,2,2,1,2,2,1,1,1,3,3,3,7,7,3,2,2,8,2,2,2055,3598,3932,1450,161,1289,3236,1469
127,2,4,8,61,5,5,3,3,53,6,5,4,6,2,2,2,2,6,2,2,2,1,1,2,2,1,1,1,2,5,3,9,8,2,2,3,7,2,2,3687,2754,4249,1438,289,1149,3566,2370
128,2,4,8,63,6,5,3,3,59,6,5,6,7,2,2,6,3,6,2,2,2,1,1,2,2,1,1,1,3,6,6,3,5,3,2,2,9,2,2,2206,2286,3943,1332,197,1134,3669,1107
129,2,4,7,65,5,5,5,2,55,6,6,6,6,2,2,2,2,8,1,1,2,2,1,2,2,1,1,1,4,5,6,9,8,2,2,3,4,3,2,2055,3598,3932,1450,161,1289,3236,1469
130,3,4,2,20,2,2,6,6,69,5,4,2,3,4,2,4,3,4,1,2,2,1,1,2,2,1,2,1,4,3,4,9,8,2,2,3,7,2,2,2206,2286,3943,1332,197,1134,3669,1107
131,2,3,8,69,6,5,2,2,67,6,6,5,7,2,2,3,3,7,2,2,2,1,1,2,2,1,1,1,4,5,5,6,3,5,3,3,3,2,2,1545,2558,4092,1413,197,1216,3444,1143
